Type,Date,Case,Latitude,Longtitude
피습 사건,1945-09-05,"조선정판사, 위조지폐 사건",,
피습 사건,1946-01-18,학병동맹사건,,
피습 사건,1946-01-29,정계요인 암살 및 경찰서 방화기도 사건,,
피습 사건,1946-05-08,연백평야 통구(通水)단절 사건,,
피습 사건,1946-07-12,국대안 반대 사건,,
피습 사건,1946-08-15,보성 적색테러 사건,34.7702173291455,127.079038466874
피습 사건,1946-09-12,이승만 박사 저격 사건,,
피습 사건,1946-09-23,9월 총파업 사건,35.17992598569,129.07509523457
피습 사건,1946-09-23,9월 총파업 사건,35.8715665189534,128.601258980014
피습 사건,1946-09-23,9월 총파업 사건,37.525963157053,126.896367130558
피습 사건,1946-10-01,대구폭동 사건,35.8715665189534,128.601258980014
피습 사건,1946-10-16,조병옥 경무부장 암살미수 사건,,
피습 사건,1946-11-13,장택상 경무총감 피격 사건,,
피습 사건,1946-12-15,대남 송전 중단 사건,,
피습 사건,1947-02-05,경무부내 남로당 세포 사건,,
피습 사건,1947-06-14,부산경찰서장 피살 사건,35.17992598569,129.07509523457
피습 사건,1947-09-20,인민군 남침음모 사건,,
피습 사건,1947-12-01,포천 소련군 남침 사건,37.8947048945138,127.200331541867
피습 사건,1947-12-30,인민해방군 사건,35.17992598569,129.07509523457
피습 사건,1948-02-07,2.7폭동 사건,,
피습 사건,1948-03-28,인민민혁군 사건,,
피습 사건,1948-04-03,제주도 무장폭동 사건,33.4882207234688,126.497722598412
피습 사건,1948-05-06,운수부내 남로당 세포 사건,,
피습 사건,1948-05-10,5.10총선거 방해 사건,,
피습 사건,1948-09-30,창군 전후 군내부 세포 사건,,
피습 사건,1948-10-19,여수·순천 반란 사건,34.7582999491087,127.716470886857
피습 사건,1948-10-19,여수·순천 반란 사건,34.9458736815396,127.503076078383
피습 사건,1948-11-02,대구 반란 사건,35.8715665189534,128.601258980014
피습 사건,1948-11-05,개성경찰서 성호고서 습격,37.58,126.33
피습 사건,1949-01-18,거물간첩 이재복 사건,,
피습 사건,1949-03-06,서울사대 손진태 학장 피살 사건,37.566370776634,126.977918351844
피습 사건,1949-04-18,남로당 국회침투사건,,
피습 사건,1949-05-04,곰무원·강태무 월북 사건,,
피습 사건,1949-05-06,북괴군의 개성 침공사건,37.58,126.33
피습 사건,1949-06-07,보은경찰서 산외지서 습격 사건,36.4822299038541,127.714973297607
피습 사건,1949-07-20,경북 7월폭동 사건,35.8565095232093,129.224736500225
피습 사건,1949-09-22,중요기관 폭탄사건,,
피습 사건,1950-02-06,대남공작대 남파 사건,,
피습 사건,1950-02-11,인민공작대 남파 사건,,
피습 사건,1950-03-27,거물간첩 김삼룡·이주하 사건,,
피습 사건,1950-03-28,부산경남 남침 사건,35.17992599,129.07509523457
피습 사건,1950-04-05,여간첩 김수임 사건,,
피습 사건,1950-05-06,각지의 공비반항 사건,,
피습 사건,1950-05-15,거물간첩 성시백 사건,,
피습 사건,1950-06-25,북괴군 전면남침 개시,,
피습 사건,1953-08-31,정국준 간첩 사건,,
피습 사건,1954-08-24,천안 무장공비 사건,36.8161298541125,127.113046978689
피습 사건,1954-10-10,서울 피뢰간첩단 사건,37.566370776634,126.977918351844
피습 사건,1955-02-22,여간첩 최옥희 사건,37.566370776634,126.977918351844
피습 사건,1955-05-10,어선피격 사건,,
피습 사건,1955-09-20,여간첩 조영희 사건,37.8813632235921,127.729858899897
피습 사건,1955-09-21,간첩 이상환 사건,,
피습 사건,1956-04-12,공산군 월경기습 사건,,
피습 사건,1956-11-07,영공돌발 사건,,
피습 사건,1957-04-16,어선 납치사건,,
피습 사건,1957-07-24,무장간첩선 격침 사건,,
피습 사건,1957-08-02,간첩 김정제 사건,,
