Type,Date,Case,Latitude,Longtitude
미사일,1984-04-09,Scud-B,40.8499966,129.666664
미사일,1984-04-09,Scud-B,40.8499966,129.666664
미사일,1984-04-09,Scud-B,40.8499966,129.666664
미사일,1984-09-01,Scud-B,40.8499966,129.666664
미사일,1984-09-01,Scud-B,40.8499966,129.666664
미사일,1984-09-01,Scud-B,40.8499966,129.666664
미사일,1986-05-01,Unknown,40.8499966,129.666664
미사일,1990-05-01,Nodong,40.8499966,129.666664
미사일,1990-06-01,Scud-C,40.8499966,129.666664
미사일,1991-07-01,Scud-C,38.62333,126.6847
미사일,1992-06-01,Nodong,40.8499966,129.666664
미사일,1993-05-29,Nodong,40.8499966,129.666664
미사일,1993-05-29,Scud-C,40.8499966,129.666664
미사일,1993-05-29,Scud-C,40.8499966,129.666664
미사일,1993-05-30,Scud-C,40.8499966,129.666664
미사일,1998-08-31,Taepodong-1,40.8499966,129.666664
미사일,2006-07-05,Nodong,38.99083,127.6236
미사일,2006-07-05,Nodong,38.99083,127.6236
미사일,2006-07-05,Nodong,38.99083,127.6236
미사일,2006-07-05,Nodong,38.99083,127.6236
미사일,2006-07-05,Scud-C,38.99083,127.6236
미사일,2006-07-05,Scud-C,38.99083,127.6236
미사일,2006-07-05,Unha,40.8499966,129.666664
미사일,2009-04-05,Unha,40.8499966,129.666664
미사일,2009-07-05,Nodong,38.99083,127.6236
미사일,2009-07-05,Nodong,38.99083,127.6236
미사일,2009-07-05,Scud-C,38.99083,127.6236
미사일,2009-07-05,Scud-C,38.99083,127.6236
미사일,2009-07-05,Scud-C,38.99083,127.6236
미사일,2009-07-05,Scud-C,38.99083,127.6236
미사일,2009-07-05,Scud-C,38.99083,127.6236
미사일,2012-04-13,Unha-3,39.6596,124.7057
미사일,2012-12-12,Unha-3,39.6596,124.7057
미사일,2013-05-18,KN-02,39.40167,127.5369
미사일,2013-05-18,KN-02,39.40167,127.5369
미사일,2013-05-18,KN-02,39.40167,127.5369
미사일,2013-05-19,KN-02,39.40167,127.5369
미사일,2013-05-20,KN-02,39.40167,127.5369
미사일,2013-05-20,KN-02,39.40167,127.5369
미사일,2014-02-27,Scud-B,38.99083,127.6236
미사일,2014-02-27,Scud-B,38.99083,127.6236
미사일,2014-02-27,Scud-B,38.99083,127.6236
미사일,2014-02-27,Scud-B,38.99083,127.6236
미사일,2014-03-03,Scud-C,39.1677,127.4817
미사일,2014-03-03,Scud-C,39.1677,127.4817
미사일,2014-03-26,Nodong,39.412594,125.89031
미사일,2014-03-26,Nodong,39.412594,125.89031
미사일,2014-06-26,KN-02,39.40167,127.5369
미사일,2014-06-29,Scud-C,39.065962,127.250257
미사일,2014-06-29,Scud-C,39.065962,127.250257
미사일,2014-07-09,Scud-C,38.686834,125.702005
미사일,2014-07-09,Scud-C,38.686834,125.702005
미사일,2014-07-13,Scud-C,37.9382,126.5878
미사일,2014-07-13,Scud-C,37.9382,126.5878
미사일,2014-07-26,Scud-C,Unknown,Unknown
미사일,2014-08-14,KN-02,39.40167,127.5369
미사일,2014-09-01,KN-02,39.40167,127.5369
미사일,2014-09-06,KN-02,39.40167,127.5369
미사일,2015-02-08,KN-02,39.40167,127.5369
미사일,2015-02-08,KN-02,39.40167,127.5369
미사일,2015-02-08,KN-02,39.40167,127.5369
미사일,2015-02-08,KN-02,39.40167,127.5369
미사일,2015-02-08,KN-02,39.40167,127.5369
미사일,2015-03-01,Scud-C,38.7523,125.3247
미사일,2015-03-01,Scud-C,38.7523,125.3247
미사일,2015-04-02,KN-02,39.40167,127.5369
미사일,2015-04-03,KN-02,39.40167,127.5369
미사일,2015-04-03,KN-02,39.40167,127.5369
미사일,2015-04-03,KN-02,39.40167,127.5369
미사일,2015-04-03,KN-02,39.40167,127.5369
미사일,2015-05-08,Pukguksong-1,40.0368,128.1839
미사일,2015-11-28,Pukguksong-1,40.0368,128.1839
미사일,2015-12-21,Pukguksong-1,40.0368,128.1839
미사일,2016-02-07,Unha-3,39.6596,124.7057
미사일,2016-03-10,Scud-C,38.686834,125.702005
미사일,2016-03-10,Scud-C,38.686834,125.702005
미사일,2016-03-18,Nodong,39.412594,125.89031
미사일,2016-03-18,Nodong,39.412594,125.89031
미사일,2016-04-15,Musudan,39.1677,127.4817
미사일,2016-04-23,Pukguksong-1,40.0368,128.1839
미사일,2016-04-27,Musudan,39.1677,127.4817
미사일,2016-04-28,Musudan,39.1677,127.4817
미사일,2016-05-30,Musudan,39.1677,127.4817
미사일,2016-06-21,Musudan,39.1677,127.4817
미사일,2016-06-21,Musudan,39.1677,127.4817
미사일,2016-07-09,Pukguksong-1,40.0368,128.1839
미사일,2016-07-18,Nodong,38.686834,125.702005
미사일,2016-07-18,Scud-C,38.686834,125.702005
미사일,2016-07-18,Scud-C,38.686834,125.702005
미사일,2016-08-02,Nodong,38.686834,125.702005
미사일,2016-08-02,Nodong,38.686834,125.702005
미사일,2016-08-23,Pukguksong-1,40.0368,128.1839
미사일,2016-09-05,ER Scud,38.686834,125.702005
미사일,2016-09-05,ER Scud,38.686834,125.702005
미사일,2016-09-05,ER Scud,38.686834,125.702005
미사일,2016-10-14,Musudan,39.927472,125.207889
미사일,2016-10-19,Musudan,39.927472,125.207889
미사일,2017-02-11,Pukguksong-2,40.01325,125.22302
미사일,2017-03-05,ER Scud,39.6596,124.7057
미사일,2017-03-05,ER Scud,39.6596,124.7057
미사일,2017-03-05,ER Scud,39.6596,124.7057
미사일,2017-03-05,ER Scud,39.6596,124.7057
미사일,2017-03-05,ER Scud,39.6596,124.7057
미사일,2017-03-21,Unknown,39.1677,127.4817
미사일,2017-04-04,Hwasong-12,40.0368,128.1839
미사일,2017-04-15,Hwasong-12,40.0368,128.1839
미사일,2017-04-28,Hwasong-12,39.504417,125.964333
미사일,2017-05-14,Hwasong-12,40.0659,125.2099
미사일,2017-05-21,Pukguksong-2,39.618283,125.8035851
미사일,2017-05-28,Scud-C MaRV,39.1677,127.4817
미사일,2017-07-04,Hwasong-14,39.872153,125.269192
미사일,2017-07-28,Hwasong-14,40.611208,126.425743
미사일,2017-08-25,Scud-B MaRV,38.99083,127.6236
미사일,2017-08-25,Scud-B MaRV,38.99083,127.6236
미사일,2017-08-25,Scud-B MaRV,38.99083,127.6236
미사일,2017-08-28,Hwasong-12,39.200159,125.673256
미사일,2017-09-14,Hwasong-12,39.200159,125.673256
미사일,2017-11-28,Hwasong-15,39.282,125.869
미사일,2019-04-17,Unknown,Unknown,Unknown
미사일,2019-05-04,Hwasong-11A (KN-23),39.40167,127.5369
