Type,Date,Case,Latitude,Longtitude
오물풍선,2024-05-29,First Wave,36.2542683,127.2608089
오물풍선,2024-05-29,First Wave,37.80919,126.71015
오물풍선,2024-05-29,First Wave,35.75086,127.83267
오물풍선,2024-05-29,First Wave,35.93172,127.71118
오물풍선,2024-05-29,First Wave,37.4503386,127.1462933
오물풍선,2024-05-29,First Wave,37.10531,127.08763
오물풍선,2024-05-29,First Wave,36.4485683,128.3559773
오물풍선,2024-05-29,First Wave,35.98682777,128.9147287
오물풍선,2024-05-29,First Wave,35.63184,127.51603
오물풍선,2024-05-29,First Wave,37.4503386,127.1462933
오물풍선,2024-05-29,First Wave,37.6768806,127.0854209
오물풍선,2024-05-29,First Wave,37.78603,126.26117
오물풍선,2024-05-29,First Wave,37.4290844,127.255189
오물풍선,2024-05-29,First Wave,38.013769,127.238747
오물풍선,2024-05-29,First Wave,37.8577547,126.7829539
오물풍선,2024-05-29,First Wave,38.1468023,127.3133
오물풍선,2024-05-29,First Wave,38.0694,128.1706
오물풍선,2024-05-29,First Wave,38.1063,127.708
오물풍선,2024-05-29,First Wave,37.7687254,128.8711752
오물풍선,2024-05-29,First Wave,37.78603,126.26117
오물풍선,2024-05-29,First Wave,37.566,126.9784
오물풍선,2024-05-29,First Wave,37.5797185,126.9856138
오물풍선,2024-05-29,First Wave,37.566571,126.9015317
오물풍선,2024-05-29,First Wave,37.5262,126.8959
오물풍선,2024-05-29,First Wave,37.5748508,126.9760746
오물풍선,2024-05-29,First Wave,36.9115864,127.9931536
오물풍선,2024-05-29,First Wave,36.6104608,127.3638544
오물풍선,2024-05-29,First Wave,37.1326042,128.1913508
오물풍선,2024-05-29,First Wave,37.5729,126.97928
오물풍선,2024-05-29,First Wave,37.566,126.9784
오물풍선,2024-05-29,First Wave,36.29037,127.22768
오물풍선,2024-05-29,First Wave,37.566,126.9784
오물풍선,2024-06-01,Second Wave,37.5171,126.8663
오물풍선,2024-06-01,Second Wave,37.5262,126.8959
오물풍선,2024-06-01,Second Wave,38.0028804,127.0016095
오물풍선,2024-06-02,Second Wave,37.70697307,126.8484995
오물풍선,2024-06-02,Second Wave,37.7598955,126.7801502
오물풍선,2024-06-02,Second Wave,37.7849312,127.0457771
오물풍선,2024-06-02,Second Wave,36.17341,126.88718
오물풍선,2024-06-02,Second Wave,36.80488,127.19431
오물풍선,2024-06-02,Second Wave,37.38445597,128.0146215
오물풍선,2024-06-02,Second Wave,38.1096812,127.9900596
오물풍선,2024-06-02,Second Wave,37.7668069,128.1937951
오물풍선,2024-06-02,Second Wave,36.67437,128.55151
오물풍선,2024-06-02,Second Wave,36.68187,128.9128
오물풍선,2024-06-02,Second Wave,36.59338,129.08923
오물풍선,2024-06-02,Second Wave,36.2437,129.36813
오물풍선,2024-06-02,Second Wave,36.58755,128.18624
오물풍선,2024-06-02,Second Wave,36.2497795,129.3753366
오물풍선,2024-06-02,Second Wave,37.3798891,126.8032255
오물풍선,2024-06-02,Second Wave,37.49889,126.78306
오물풍선,2024-06-02,Second Wave,36.6123808,127.5058417
오물풍선,2024-06-02,Second Wave,36.9907334,127.9259891
오물풍선,2024-06-02,Second Wave,37.1270743,128.2059637
오물풍선,2024-06-02,Second Wave,36.63722,127.48972
오물풍선,2024-06-08,Third Wave,37.65639,126.835
오물풍선,2024-06-09,Third Wave,37.47353,126.62151
오물풍선,2024-06-09,Third Wave,36.236126,127.897015
오물풍선,2024-06-09,Third Wave,37.545,126.676
오물풍선,2024-06-09,Third Wave,37.746,126.488
오물풍선,2024-06-09,Third Wave,37.5969838,126.6676253
오물풍선,2024-06-09,Third Wave,37.49627,126.5583
오물풍선,2024-06-09,Third Wave,37.3109,127.40975
오물풍선,2024-06-09,Third Wave,37.33315352,126.8393772
오물풍선,2024-06-09,Third Wave,37.3615229,126.9349025
오물풍선,2024-06-09,Third Wave,37.7506136,126.5591697
오물풍선,2024-06-09,Third Wave,37.2804,127.0078
오물풍선,2024-06-09,Third Wave,37.2345,127.2017
오물풍선,2024-06-09,Third Wave,37.3109,127.40975
오물풍선,2024-06-09,Third Wave,37.65639,126.835
오물풍선,2024-06-09,Third Wave,37.7584627,126.7697535
오물풍선,2024-06-09,Third Wave,37.9413242,127.7702114
오물풍선,2024-06-09,Third Wave,37.6894014,127.8843043
오물풍선,2024-06-09,Third Wave,37.7214045,127.7268172
오물풍선,2024-06-09,Third Wave,36.236126,127.897015
오물풍선,2024-06-09,Third Wave,37.5741982,127.0395092
오물풍선,2024-06-09,Third Wave,37.59,127.0165
오물풍선,2024-06-09,Third Wave,37.6768806,127.0854209
오물풍선,2024-06-09,Third Wave,37.6063,127.093
오물풍선,2024-06-09,Third Wave,37.6024,126.9293
오물풍선,2024-06-09,Third Wave,37.5560719,126.9723599
오물풍선,2024-06-09,Third Wave,37.5806949,126.9827989
오물풍선,2024-06-09,Third Wave,37.5790747,126.9367861
오물풍선,2024-06-09,Third Wave,37.5177,127.0473
오물풍선,2024-06-09,Third Wave,37.5262,126.8959
오물풍선,2024-06-09,Third Wave,37.5534363,126.9697994
오물풍선,2024-06-10,Fourth Wave,37.53895,127.2125
오물풍선,2024-06-10,Fourth Wave,37.50389694,128.7324084
오물풍선,2024-06-10,Fourth Wave,37.768405,126.4048539
오물풍선,2024-06-10,Fourth Wave,37.53762636,126.9786846
오물풍선,2024-06-10,Fourth Wave,37.56736703,126.9794054
오물풍선,2024-06-10,Fourth Wave,37.58209476,127.0491296
오물풍선,2024-06-10,Fourth Wave,37.56389583,126.9546449
오물풍선,2024-06-18,Fifth Wave,37.60009681,126.7090658
오물풍선,2024-06-19,Fifth Wave,37.56909059,127.1985871
오물풍선,2024-06-20,Fifth Wave,37.48038232,127.1671664
오물풍선,2024-06-21,Fifth Wave,37.66937988,127.2735398
오물풍선,2024-06-22,Fifth Wave,37.73213969,127.0831184
오물풍선,2024-06-23,Fifth Wave,37.74251866,127.0982486
오물풍선,2024-06-24,Fifth Wave,37.75471693,126.8348595
오물풍선,2024-06-25,Sixth Wave,37.60881004,127.0188842
오물풍선,2024-06-26,Sixth Wave,37.45894701,126.4419572
오물풍선,2024-06-26,Sixth Wave,37.81131856,128.0712957
오물풍선,2024-06-27,Seventh Wave,37.52706617,127.0915959
오물풍선,2024-07-19,Eighth Wave,37.84842192,127.578637
오물풍선,2024-07-19,Eighth Wave,38.00083592,127.3447025
오물풍선,2024-07-18,Eighth Wave,38.13149673,127.1947871
오물풍선,2024-07-18,Eighth Wave,37.7197323,126.9423338
오물풍선,2024-07-18,Eighth Wave,37.81704644,127.0433082
오물풍선,2024-07-18,Eighth Wave,37.89732366,126.831396
오물풍선,2024-07-18,Eighth Wave,37.74310391,127.0812471
오물풍선,2024-07-18,Eighth Wave,37.47708349,126.7974016
오물풍선,2024-07-21,Ninth Wave,37.57258455,127.0705652
오물풍선,2024-07-21,Ninth Wave,38.04166814,126.9768902
오물풍선,2024-07-21,Ninth Wave,37.92600776,127.1126557
오물풍선,2024-07-21,Ninth Wave,37.6050853,127.1969754
오물풍선,2024-07-21,Ninth Wave,37.913542,127.1381033
오물풍선,2024-07-21,Ninth Wave,37.7933321,127.0752929
오물풍선,2024-07-21,Ninth Wave,37.87810132,127.0738515
오물풍선,2024-07-21,Ninth Wave,37.68386669,126.8192169
오물풍선,2024-07-21,Ninth Wave,37.68593719,127.2882531
오물풍선,2024-07-21,Ninth Wave,37.89322974,126.9324178
오물풍선,2024-07-21,Ninth Wave,37.7571009,127.0592475
오물풍선,2024-07-24,Tenth Wave,37.70896836,127.0688661
오물풍선,2024-07-24,Tenth Wave,37.53195349,126.9148413
오물풍선,2024-07-24,Tenth Wave,37.56680601,126.9396595
오물풍선,2024-07-24,Tenth Wave,37.53057022,126.9841318
오물풍선,2024-07-24,Tenth Wave,37.56073929,126.8025631
