Type,Date,Case,Latitude,Longtitude,Year,n_gov,s_gov
피습 사건,1945-09-05,"조선정판사, 위조지폐 사건",,,1945,임시정부,임시정부
피습 사건,1946-01-18,학병동맹사건,,,1946,임시정부,임시정부
피습 사건,1946-01-29,정계요인 암살 및 경찰서 방화기도 사건,,,1946,임시정부,임시정부
피습 사건,1946-05-08,연백평야 통구(通水)단절 사건,,,1946,임시정부,임시정부
피습 사건,1946-07-12,국대안 반대 사건,,,1946,임시정부,임시정부
피습 사건,1946-08-15,보성 적색테러 사건,34.7702173291455,127.079038466874,1946,임시정부,임시정부
피습 사건,1946-09-12,이승만 박사 저격 사건,,,1946,임시정부,임시정부
피습 사건,1946-09-23,9월 총파업 사건,35.17992598569,129.07509523457,1946,임시정부,임시정부
피습 사건,1946-09-23,9월 총파업 사건,35.8715665189534,128.601258980014,1946,임시정부,임시정부
피습 사건,1946-09-23,9월 총파업 사건,37.525963157053,126.896367130558,1946,임시정부,임시정부
피습 사건,1946-10-01,대구폭동 사건,35.8715665189534,128.601258980014,1946,임시정부,임시정부
피습 사건,1946-10-16,조병옥 경무부장 암살미수 사건,,,1946,임시정부,임시정부
피습 사건,1946-11-13,장택상 경무총감 피격 사건,,,1946,임시정부,임시정부
피습 사건,1946-12-15,대남 송전 중단 사건,,,1946,임시정부,임시정부
피습 사건,1947-02-05,경무부내 남로당 세포 사건,,,1947,임시정부,임시정부
피습 사건,1947-06-14,부산경찰서장 피살 사건,35.17992598569,129.07509523457,1947,임시정부,임시정부
피습 사건,1947-09-20,인민군 남침음모 사건,,,1947,임시정부,임시정부
피습 사건,1947-12-01,포천 소련군 남침 사건,37.8947048945138,127.200331541867,1947,임시정부,임시정부
피습 사건,1947-12-30,인민해방군 사건,35.17992598569,129.07509523457,1947,임시정부,임시정부
피습 사건,1948-02-07,2.7폭동 사건,,,1948,김일성,이승만
피습 사건,1948-03-28,인민민혁군 사건,,,1948,김일성,이승만
피습 사건,1948-04-03,제주도 무장폭동 사건,33.4882207234688,126.497722598412,1948,김일성,이승만
피습 사건,1948-05-06,운수부내 남로당 세포 사건,,,1948,김일성,이승만
피습 사건,1948-05-10,5.10총선거 방해 사건,,,1948,김일성,이승만
피습 사건,1948-09-30,창군 전후 군내부 세포 사건,,,1948,김일성,이승만
피습 사건,1948-10-19,여수·순천 반란 사건,34.7582999491087,127.716470886857,1948,김일성,이승만
피습 사건,1948-10-19,여수·순천 반란 사건,34.9458736815396,127.503076078383,1948,김일성,이승만
피습 사건,1948-11-02,대구 반란 사건,35.8715665189534,128.601258980014,1948,김일성,이승만
피습 사건,1948-11-05,개성경찰서 성호고서 습격,37.58,126.33,1948,김일성,이승만
피습 사건,1949-01-18,거물간첩 이재복 사건,,,1949,김일성,이승만
피습 사건,1949-03-06,서울사대 손진태 학장 피살 사건,37.566370776634,126.977918351844,1949,김일성,이승만
피습 사건,1949-04-18,남로당 국회침투사건,,,1949,김일성,이승만
피습 사건,1949-05-04,곰무원·강태무 월북 사건,,,1949,김일성,이승만
피습 사건,1949-05-06,북괴군의 개성 침공사건,37.58,126.33,1949,김일성,이승만
피습 사건,1949-06-07,보은경찰서 산외지서 습격 사건,36.4822299038541,127.714973297607,1949,김일성,이승만
피습 사건,1949-07-20,경북 7월폭동 사건,35.8565095232093,129.224736500225,1949,김일성,이승만
피습 사건,1949-09-22,중요기관 폭탄사건,,,1949,김일성,이승만
피습 사건,1950-02-06,대남공작대 남파 사건,,,1950,김일성,이승만
피습 사건,1950-02-11,인민공작대 남파 사건,,,1950,김일성,이승만
피습 사건,1950-03-27,거물간첩 김삼룡·이주하 사건,,,1950,김일성,이승만
피습 사건,1950-03-28,부산경남 남침 사건,35.17992599,129.07509523457,1950,김일성,이승만
피습 사건,1950-04-05,여간첩 김수임 사건,,,1950,김일성,이승만
피습 사건,1950-05-06,각지의 공비반항 사건,,,1950,김일성,이승만
피습 사건,1950-05-15,거물간첩 성시백 사건,,,1950,김일성,이승만
피습 사건,1950-06-25,북괴군 전면남침 개시,,,1950,김일성,이승만
피습 사건,1953-08-31,정국준 간첩 사건,,,1953,김일성,이승만
피습 사건,1954-08-24,천안 무장공비 사건,36.8161298541125,127.113046978689,1954,김일성,이승만
피습 사건,1954-10-10,서울 피뢰간첩단 사건,37.566370776634,126.977918351844,1954,김일성,이승만
피습 사건,1955-02-22,여간첩 최옥희 사건,37.566370776634,126.977918351844,1955,김일성,이승만
피습 사건,1955-05-10,어선피격 사건,,,1955,김일성,이승만
피습 사건,1955-09-20,여간첩 조영희 사건,37.8813632235921,127.729858899897,1955,김일성,이승만
피습 사건,1955-09-21,간첩 이상환 사건,,,1955,김일성,이승만
피습 사건,1956-04-12,공산군 월경기습 사건,,,1956,김일성,이승만
피습 사건,1956-11-07,영공돌발 사건,,,1956,김일성,이승만
피습 사건,1957-04-16,어선 납치사건,,,1957,김일성,이승만
피습 사건,1957-07-24,무장간첩선 격침 사건,,,1957,김일성,이승만
피습 사건,1957-08-02,간첩 김정제 사건,,,1957,김일성,이승만
피습 사건,1957-09-04,해군첨부 첩보단 사건,,,1957,김일성,이승만
피습 사건,1957-11-09,동해안 어선납치 사건,,,1957,김일성,이승만
피습 사건,1957-11-25,간첩 황의환 사건,,,1957,김일성,이승만
피습 사건,1958-02-16,KNA 여객기 납북 사건,,,1958,김일성,이승만
피습 사건,1958-04-10,공군수송기 납북기도 사건,,,1958,김일성,이승만
피습 사건,1958-04-29,어선납치 사건,,,1958,김일성,이승만
피습 사건,1958-07-08,국군조소 기술 사건,,,1958,김일성,이승만
피습 사건,1958-09-08,북괴무장선 격파 사건,,,1958,김일성,이승만
피습 사건,1958-10-18,월북간첩선 나포 사건,,,1958,김일성,이승만
피습 사건,1958-11-01,무장간첩선 사건,37.1715951991569,126.625894958744,1958,김일성,이승만
피습 사건,1958-11-25,무장간첩선 나포 사건,,,1958,김일성,이승만
피습 사건,1958-12-06,어선납치 사건,,,1958,김일성,이승만
피습 사건,1959-06-05,휴전선 불법남침 사건,,,1959,김일성,이승만
피습 사건,1959-07-22,팔공산공비 사건,,,1959,김일성,이승만
피습 사건,1959-08-08,어선납치 사건,,,1959,김일성,이승만
피습 사건,1959-10-30,위장자수간첩 사건,,,1959,김일성,이승만
피습 사건,1959-11-13,어선납북 사건,,,1959,김일성,이승만
피습 사건,1959-11-26,침투 무장간첩선 격침 사건,,,1959,김일성,이승만
피습 사건,1960-01-09,군기밀탐지 간첩 사건,,,1960,김일성,윤보선
피습 사건,1960-03-09,군인 3명 피살 사건,,,1960,김일성,윤보선
피습 사건,1960-05-08,대규모 간첩단 검거 사건,,,1960,김일성,윤보선
피습 사건,1960-07-21,북괴간첩선 나포 사건,,,1960,김일성,윤보선
피습 사건,1960-07-30,북괴어뢰정 격침 사건,,,1960,김일성,윤보선
피습 사건,1960-08-03,어선납북 사건,,,1960,김일성,윤보선
피습 사건,1960-10-14,휴전선 무장간첩 사건,,,1960,김일성,윤보선
피습 사건,1960-12-10,미.유류보급선 피격 사건,37.96034201,124.674942791936,1960,김일성,윤보선
피습 사건,1960-12-15,경주호 남북기도 사건,34.296612781598,126.047449629782,1960,김일성,윤보선
피습 사건,1961-01-18,"반잠복, 박미공작 간첩 사건",35.9561957006752,128.491009746064,1961,김일성,윤보선
피습 사건,1961-03-14,해군함정 피격 사건,37.96034201,124.674942791936,1961,김일성,윤보선
피습 사건,1961-04-07,어선납북 사건,38.4943416559629,128.427309190762,1961,김일성,윤보선
피습 사건,1961-04-12,춘천 무장간첩 사건,128.590427875294,127.729858899897,1961,김일성,윤보선
피습 사건,1961-05-14,성진호 납북 사건,35.5969097445313,126.283174098912,1961,김일성,윤보선
피습 사건,1961-05-24,강릉 무장간첩 사건,37.7532226734235,128.875443586651,1961,김일성,윤보선
피습 사건,1961-06-14,명주 무장간첩 사건,35.1123079894405,128.55614488555,1961,김일성,윤보선
피습 사건,1961-07-05,학원침투간첩 사건,37.566370776634,126.977918351844,1961,김일성,윤보선
피습 사건,1961-08-22,농림지하당 조직 간첩 사건,,,1961,김일성,윤보선
피습 사건,1961-09-16,북괴간첩선 격침 사건,37.6651915483657,125.702047674071,1961,김일성,윤보선
피습 사건,1961-10-20,거물간첩 황태성 사건,,,1961,김일성,윤보선
피습 사건,1961-11-03,살인강도간첩 사건,34.8510437105885,128.590427875294,1961,김일성,윤보선
피습 사건,1962-01-10,거물간첩 위청룡 사건,,,1962,김일성,박정희
피습 사건,1962-07-07,무장간첩선 격침 사건,,,1962,김일성,박정희
피습 사건,1962-07-14,국군장병 납치 사건,38.2661937661707,127.09632923635,1962,김일성,박정희
피습 사건,1962-09-06,비무장지대 발표 사건,37.9556099992588,126.676601006326,1962,김일성,박정희
피습 사건,1962-11-20,비무장지대 미군피살 사건,37.9556099992588,126.676601006326,1962,김일성,박정희
피습 사건,1962-12-23,북괴함정 침범 사건,37.6651915483657,125.702047674071,1962,김일성,박정희
피습 사건,1963-03-13,북괴의 풍선폭발물 사건,36.9922987648024,127.112525334603,1963,김일성,박정희
피습 사건,1963-03-19,북괴군 월경 사건,37.9691945981238,126.779573951463,1963,김일성,박정희
피습 사건,1963-05-17,미군 헬리곱터 강제불시착 사건,38.2661937661707,127.09632923635,1963,김일성,박정희
피습 사건,1963-07-29,휴전선 남방 기습 사건,38.2661937661707,127.09632923635,1963,김일성,박정희
피습 사건,1963-07-30,파주 무장간첩 사건,37.7600286711113,126.779919878758,1963,김일성,박정희
피습 사건,1963-08-03,"북괴군, 미군과 충격전",37.9691945981238,126.779573951463,1963,김일성,박정희
